Date;Open;High;Low;Close;Volume;Adj Close
04/01/2007;17322,5;17617,64063;16758,46094;17383,41992;148100;17383,41992
01/02/2007;17377,0293;18300,39063;17199,66016;17604,11914;184500;17604,11914
01/03/2007;17542,23047;17558,03906;16532,91016;17287,65039;167400;17287,65039
02/04/2007;17346,25;17782,08008;16999,05078;17400,41016;137500;17400,41016
01/05/2007;17396,30078;17875,75;17203,0293;17875,75;137700;17875,75
01/06/2007;17949,91992;18297;17591,92969;18138,35938;134800;18138,35938
02/07/2007;18139,03906;18295,26953;17042,66016;17248,89063;132400;17248,89063
01/08/2007;17169,19922;17274,33008;15262,09961;16569,08984;144200;16569,08984
03/09/2007;16511,07031;16929,25977;15610,65039;16785,68945;121100;16785,68945
01/10/2007;16773,09961;17488,9707;16199,01953;16737,63086;126200;16737,63086
01/11/2007;16812,90039;16887,03906;14669,84961;15680,66992;155300;15680,66992
03/12/2007;15747,46973;16107,65039;14998,00977;15307,78027;125900;15307,78027
04/01/2008;15155,73047;15156,66016;12572,67969;13592,46973;172500;13592,46973
01/02/2008;13517,74023;14105,46973;12923,41992;13603,01953;152100;13603,01953
03/03/2008;13412,87012;13413,62988;11691;12525,54004;147200;12525,54004
01/04/2008;12539,79981;14003,28027;12521,83984;13849,99023;129300;13849,99023
01/05/2008;13802,58984;14392,53027;13540,67969;14338,54004;143300;14338,54004
02/06/2008;14342,95996;14601,26953;13453,34961;13481,37988;133000;13481,37988
01/07/2008;13514,86035;13603,30957;12671,33984;13376,80957;127000;13376,80957
01/08/2008;13276,57031;13468,80957;12631,94043;13072,87012;122100;13072,87012
01/09/2008;12936,80957;12940,54981;11160,83008;11259,86035;153500;11259,86035
01/10/2008;11396,61035;11456,63965;6994,899902;8576,980469;203300;8576,980469
04/11/2008;8702,769531;9521,240234;7406,180176;8512,269531;166400;8512,269531
01/12/2008;8464,360352;8859,55957;7849,839844;8859,55957;127800;8859,55957
05/01/2009;8991,209961;9325,349609;7671,040039;7994,049805;147500;7994,049805
02/02/2009;7908,509766;8257,709961;7155,160156;7568,419922;155200;7568,419922
02/03/2009;7454,279785;8843,179688;7021,279785;8109,529785;169300;8109,529785
01/04/2009;8173,359863;9068,799805;8084,620117;8828,259766;189100;8828,259766
01/05/2009;8848,839844;9522,5;8827,129883;9522,5;176800;9522,5
01/06/2009;9517,490234;10170,82031;9491,259766;9958,44043;179000;9958,44043
01/07/2009;9889,339844;10359,07031;9050,330078;10356,83008;162500;10356,83008
03/08/2009;10355,23047;10767;10142,21973;10492,53027;146600;10492,53027
01/09/2009;10453,37012;10577,19043;9971,049805;10133,23047;142400;10133,23047
01/10/2009;10072,63965;10397,69043;9628,669922;10034,74023;156100;10034,74023
02/11/2009;9903,769531;9979,459961;9076,410156;9345,549805;155000;9345,549805
01/12/2009;9281,820312;10707,50977;9233,200195;10546,44043;165500;10546,44043
04/01/2010;10609,33984;10982,09961;10198,04004;10198,04004;190400;10198,04004
01/02/2010;10212,36035;10449,75;9867,389648;10126,03027;136800;10126,03027
01/03/2010;10128,73047;11147,62012;10116,86035;11089,94043;116000;11089,94043
01/04/2010;11178,91992;11408,16992;10865,91992;11057,40039;144200;11057,40039
06/05/2010;10847,90039;10847,90039;9395,290039;9768,700195;182700;9768,700195
01/06/2010;9747,259766;10251,90039;9347,070312;9382,639648;122200;9382,639648
01/07/2010;9296,860352;9807,360352;9091,700195;9537,299805;147800;9537,299805
02/08/2010;9574,639648;9750,879883;8807,410156;8824,05957;121500;8824,05957
01/09/2010;8833,320312;9704,25;8796,450195;9369,349609;131200;9369,349609
01/10/2010;9440,519531;9716,919922;9179,150391;9202,450195;154400;9202,450195
01/11/2010;9166,849609;10157,96973;9123,620117;9937,040039;144500;9937,040039
01/12/2010;9939,799805;10394,21973;9918,549805;10228,91992;130700;10228,91992
04/01/2011;10352,19043;10620,57031;10182,57031;10237,91992;151600;10237,91992
